Index,Attribute
5,schedArrTime
31,schedArrTime
32,schedArrTime
50,actArrTime
52,actArrTime
53,actDepTime
53,actArrTime
54,actDepTime
54,actArrTime
55,actDepTime
55,actArrTime
56,actDepTime
56,actArrTime
58,actDepTime
58,actArrTime
59,actDepTime
59,actArrTime
60,actDepTime
60,actArrTime
61,actDepTime
61,actArrTime
63,actDepTime
63,actArrTime
66,actDepTime
66,actArrTime
67,actDepTime
68,actArrTime
69,actArrTime
70,actDepTime
70,actArrTime
73,actDepTime
73,actArrTime
74,actDepTime
74,actArrTime
76,actDepTime
76,actArrTime
77,actDepTime
77,actArrTime
80,actDepTime
80,actArrTime
81,actDepTime
81,actArrTime
82,actDepTime
82,actArrTime
83,actDepTime
83,actArrTime
84,actDepTime
84,actArrTime
85,actDepTime
85,actArrTime
86,actDepTime
86,actArrTime
89,actDepTime
89,actArrTime
90,actDepTime
90,actArrTime
92,actDepTime
92,actArrTime
93,actDepTime
94,actDepTime
94,actArrTime
95,actDepTime
95,actArrTime
96,schedArrTime
97,actDepTime
97,actArrTime
99,actDepTime
99,actArrTime
100,actDepTime
100,actArrTime
101,actDepTime
101,actArrTime
102,actArrTime
103,actDepTime
103,actArrTime
104,actDepTime
104,actArrTime
105,actArrTime
107,actDepTime
107,actArrTime
108,actDepTime
108,actArrTime
109,actDepTime
109,actArrTime
110,actDepTime
112,actDepTime
112,actArrTime
113,actDepTime
113,actArrTime
114,actDepTime
114,actArrTime
115,actDepTime
115,actArrTime
116,actDepTime
116,actArrTime
117,actDepTime
117,actArrTime
118,actDepTime
119,actDepTime
119,actArrTime
121,actDepTime
121,actArrTime
122,schedArrTime
123,actDepTime
123,actArrTime
124,actDepTime
124,actArrTime
125,actDepTime
125,actArrTime
126,actDepTime
126,actArrTime
127,actDepTime
127,actArrTime
130,actArrTime
131,actDepTime
131,actArrTime
132,actArrTime
133,actDepTime
133,actArrTime
134,actArrTime
135,schedDepTime
136,actDepTime
136,actArrTime
137,actDepTime
137,actArrTime
138,actDepTime
138,actArrTime
139,actArrTime
140,actArrTime
141,actArrTime
143,actArrTime
144,actDepTime
144,actArrTime
145,actDepTime
145,actArrTime
147,actDepTime
147,actArrTime
148,actDepTime
148,actArrTime
149,actDepTime
149,actArrTime
150,actArrTime
151,actDepTime
151,actArrTime
152,actArrTime
153,actDepTime
153,actArrTime
154,actDepTime
154,actArrTime
155,actDepTime
155,actArrTime
156,actDepTime
156,actArrTime
157,actDepTime
158,actDepTime
158,actArrTime
159,actDepTime
159,actArrTime
160,actDepTime
160,schedArrTime
160,actArrTime
161,actDepTime
161,actArrTime
162,actDepTime
162,actArrTime
163,actDepTime
163,actArrTime
164,actDepTime
164,actArrTime
165,actDepTime
165,actArrTime
166,actDepTime
166,actArrTime
167,actDepTime
167,actArrTime
168,actArrTime
169,actDepTime
169,actArrTime
170,actArrTime
171,actDepTime
171,actArrTime
172,actDepTime
172,actArrTime
173,actDepTime
173,actArrTime
174,actDepTime
175,actDepTime
175,actArrTime
176,actDepTime
176,actArrTime
177,actDepTime
177,actArrTime
178,actDepTime
178,actArrTime
179,actDepTime
179,actArrTime
180,actDepTime
180,actArrTime
181,actArrTime
182,actDepTime
182,actArrTime
183,actDepTime
183,actArrTime
184,actDepTime
184,actArrTime
185,actDepTime
185,actArrTime
186,schedDepTime
186,actDepTime
186,actArrTime
187,actDepTime
187,actArrTime
188,actDepTime
188,actArrTime
189,actDepTime
189,actArrTime
190,schedArrTime
191,actArrTime
192,actDepTime
192,actArrTime
193,actDepTime
193,actArrTime
194,actDepTime
194,actArrTime
195,actDepTime
195,schedArrTime
195,actArrTime
196,actDepTime
196,actArrTime
197,actDepTime
197,actArrTime
198,actDepTime
199,actDepTime
199,actArrTime
200,actDepTime
200,actArrTime
201,actDepTime
201,actArrTime
202,actDepTime
202,actArrTime
203,actArrTime
204,actDepTime
204,actArrTime
205,actDepTime
205,actArrTime
206,actDepTime
206,actArrTime
207,actDepTime
207,actArrTime
208,actDepTime
208,actArrTime
209,actDepTime
209,actArrTime
210,schedArrTime
211,actDepTime
211,schedArrTime
211,actArrTime
212,actDepTime
212,schedArrTime
212,actArrTime
213,actDepTime
213,actArrTime
214,actDepTime
214,actArrTime
215,actDepTime
215,actArrTime
216,actDepTime
216,actArrTime
217,actDepTime
217,actArrTime
218,actDepTime
218,actArrTime
219,actDepTime
219,actArrTime
220,schedArrTime
221,schedArrTime
222,actDepTime
222,actArrTime
223,actDepTime
223,actArrTime
224,actDepTime
224,actArrTime
225,actDepTime
225,actArrTime
226,actDepTime
226,actArrTime
227,actDepTime
227,actArrTime
228,actArrTime
229,actDepTime
229,actArrTime
230,actDepTime
230,actArrTime
231,actDepTime
231,actArrTime
232,actDepTime
232,actArrTime
233,actDepTime
233,actArrTime
234,actDepTime
234,actArrTime
235,actArrTime
236,actDepTime
236,actArrTime
237,actArrTime
238,actDepTime
238,actArrTime
239,actArrTime
240,actArrTime
241,actDepTime
241,actArrTime
242,actDepTime
242,actArrTime
243,actArrTime
244,actDepTime
244,actArrTime
245,actDepTime
245,actArrTime
246,actDepTime
246,actArrTime
247,actDepTime
247,actArrTime
248,actDepTime
248,actArrTime
249,actDepTime
249,actArrTime
251,actArrTime
252,actDepTime
252,actArrTime
255,actDepTime
255,actArrTime
260,actDepTime
260,actArrTime
270,actDepTime
270,actArrTime
275,actDepTime
275,actArrTime
277,actArrTime
279,actDepTime
279,actArrTime
281,schedDepTime
282,actDepTime
282,actArrTime
283,actArrTime
284,actDepTime
284,actArrTime
285,actDepTime
285,actArrTime
288,actDepTime
288,actArrTime
293,actDepTime
293,actArrTime
299,actDepTime
299,actArrTime
301,actDepTime
301,actArrTime
302,actDepTime
302,actArrTime
304,actDepTime
304,actArrTime
305,actDepTime
305,actArrTime
306,actDepTime
306,actArrTime
319,actDepTime
319,actArrTime
324,actDepTime
324,actArrTime
325,actDepTime
325,actArrTime
332,actDepTime
335,actDepTime
335,actArrTime
337,actArrTime
339,actArrTime
340,actDepTime
340,actArrTime
341,actDepTime
341,actArrTime
342,actDepTime
342,actArrTime
343,actDepTime
343,actArrTime
345,actDepTime
345,actArrTime
346,actDepTime
346,actArrTime
347,actDepTime
347,actArrTime
348,actDepTime
348,actArrTime
350,actDepTime
350,actArrTime
353,actDepTime
353,actArrTime
354,actDepTime
355,actArrTime
356,actArrTime
357,actDepTime
357,actArrTime
360,actDepTime
360,actArrTime
361,actDepTime
361,actArrTime
363,actDepTime
363,actArrTime
364,actDepTime
364,actArrTime
367,actDepTime
367,actArrTime
368,actDepTime
368,actArrTime
369,actDepTime
369,actArrTime
370,actDepTime
370,actArrTime
371,actDepTime
371,actArrTime
372,actDepTime
372,actArrTime
373,actDepTime
373,actArrTime
376,actDepTime
376,actArrTime
377,actDepTime
377,actArrTime
379,actDepTime
379,actArrTime
380,actDepTime
381,actDepTime
381,actArrTime
382,actDepTime
382,actArrTime
383,schedArrTime
384,actDepTime
384,actArrTime
386,actDepTime
386,actArrTime
387,actDepTime
387,actArrTime
388,actDepTime
388,actArrTime
389,actArrTime
390,actDepTime
390,actArrTime
391,actDepTime
391,actArrTime
392,actArrTime
394,actDepTime
394,actArrTime
395,actDepTime
395,actArrTime
396,actDepTime
396,actArrTime
397,actDepTime
399,actDepTime
399,actArrTime
400,actDepTime
400,actArrTime
401,actDepTime
401,actArrTime
402,actDepTime
402,actArrTime
403,actDepTime
403,actArrTime
404,actDepTime
404,actArrTime
