Index,Attribute
0,MeasureName
3,City
7,City
10,City
13,ProviderNumber
16,HospitalType
17,Sample
21,Condition
22,HospitalOwner
22,Condition
24,PhoneNumber
24,EmergencyService
26,HospitalName
27,HospitalOwner
31,HospitalOwner
36,PhoneNumber
39,HospitalType
42,State
42,HospitalOwner
43,EmergencyService
44,ZipCode
45,ProviderNumber
46,State
50,State
51,EmergencyService
56,City
56,Stateavg
57,Address1
57,PhoneNumber
60,PhoneNumber
63,ZipCode
65,PhoneNumber
67,CountyName
69,Stateavg
70,ZipCode
72,CountyName
73,Condition
77,CountyName
79,City
81,ProviderNumber
83,State
88,City
91,Sample
93,City
93,ZipCode
94,Address1
94,MeasureName
97,MeasureCode
98,State
98,HospitalType
101,PhoneNumber
101,MeasureCode
106,Address1
108,MeasureCode
111,MeasureName
113,HospitalOwner
115,Sample
119,State
119,MeasureName
120,MeasureCode
120,Score
127,Condition
131,HospitalName
133,Sample
136,CountyName
137,ZipCode
139,ZipCode
140,State
145,MeasureName
149,ZipCode
157,ZipCode
157,HospitalOwner
157,EmergencyService
158,Score
159,HospitalOwner
161,Address1
162,HospitalOwner
163,Score
164,HospitalOwner
165,State
166,Sample
170,Sample
171,HospitalName
175,Address1
177,MeasureCode
180,City
182,State
187,Score
190,MeasureCode
193,Stateavg
196,ZipCode
199,HospitalType
199,Condition
207,City
208,Score
210,MeasureName
212,City
213,ProviderNumber
213,HospitalType
213,Stateavg
216,CountyName
216,HospitalOwner
217,PhoneNumber
218,HospitalOwner
219,MeasureName
221,CountyName
221,HospitalOwner
223,CountyName
224,Sample
225,Condition
227,CountyName
228,City
228,State
228,PhoneNumber
229,Condition
232,ZipCode
234,Sample
236,Condition
237,Score
238,CountyName
238,HospitalOwner
238,Score
239,Condition
243,HospitalName
244,ProviderNumber
244,Stateavg
247,PhoneNumber
247,HospitalOwner
248,Stateavg
252,CountyName
252,Score
253,ProviderNumber
256,Condition
256,MeasureName
256,Score
260,Address1
261,PhoneNumber
264,Address1
264,MeasureCode
266,HospitalType
267,ZipCode
269,Stateavg
273,ProviderNumber
275,Address1
278,State
279,Condition
280,HospitalType
281,MeasureName
283,ZipCode
290,ZipCode
290,MeasureName
293,HospitalType
295,Address1
311,City
312,CountyName
313,HospitalOwner
314,ProviderNumber
316,Address1
316,Sample
318,EmergencyService
321,PhoneNumber
324,CountyName
325,ZipCode
327,EmergencyService
332,ZipCode
332,HospitalOwner
332,EmergencyService
334,Address1
334,Stateavg
336,Score
337,HospitalName
340,ZipCode
342,PhoneNumber
346,CountyName
346,MeasureName
347,Stateavg
349,MeasureCode
350,Address1
350,EmergencyService
354,Sample
356,State
356,HospitalOwner
360,ProviderNumber
363,Address1
366,ZipCode
366,Condition
367,City
369,Condition
370,Stateavg
373,Stateavg
374,EmergencyService
375,ZipCode
378,Score
380,MeasureName
381,PhoneNumber
384,HospitalName
384,PhoneNumber
385,HospitalName
386,State
386,PhoneNumber
386,Condition
387,Stateavg
389,EmergencyService
389,MeasureName
391,MeasureCode
393,Address1
393,PhoneNumber
398,MeasureCode
400,Condition
402,State
405,Score
406,ZipCode
408,ProviderNumber
409,MeasureCode
410,EmergencyService
411,Address1
411,HospitalType
411,Score
413,HospitalType
413,Sample
415,Address1
415,CountyName
418,EmergencyService
418,Sample
420,ZipCode
426,Score
428,ZipCode
431,Address1
434,MeasureName
437,City
444,Sample
447,MeasureName
448,HospitalName
449,HospitalOwner
451,Address1
453,HospitalType
456,CountyName
456,HospitalOwner
457,CountyName
462,Sample
464,MeasureCode
465,CountyName
467,Condition
471,PhoneNumber
472,Address1
473,MeasureName
474,City
477,State
477,Stateavg
482,Sample
483,State
484,Address1
485,City
488,Score
490,ZipCode
490,HospitalType
492,EmergencyService
