Index,Attribute
73,itemid
86,itemid
120,itemid
124,itemid
127,itemid
130,itemid
134,itemid
137,itemid
140,itemid
219,itemid
222,itemid
226,itemid
228,itemid
231,itemid
233,itemid
252,itemid
255,itemid
279,itemid
280,itemid
281,itemid
283,itemid
284,itemid
285,itemid
286,itemid
287,itemid
288,itemid
289,itemid
290,itemid
291,itemid
292,itemid
293,itemid
294,itemid
295,itemid
297,itemid
298,itemid
299,itemid
300,itemid
301,itemid
302,itemid
303,itemid
304,itemid
305,itemid
306,itemid
308,itemid
310,itemid
311,itemid
313,itemid
315,itemid
317,itemid
319,itemid
332,itemid
338,itemid
352,itemid
353,itemid
354,itemid
355,itemid
356,itemid
369,itemid
377,itemid
378,itemid
379,itemid
380,itemid
381,itemid
383,itemid
384,itemid
385,itemid
461,itemid
462,itemid
463,itemid
465,itemid
514,itemid
587,itemid
610,itemid
617,itemid
669,itemid
679,itemid
716,itemid
719,itemid
764,itemid
766,itemid
774,itemid
797,itemid
822,itemid
830,itemid
831,itemid
843,itemid
846,itemid
859,itemid
860,itemid
872,itemid
873,itemid
893,itemid
902,itemid
915,itemid
926,itemid
930,itemid
931,itemid
937,itemid
942,itemid
943,itemid
956,itemid
964,itemid
970,itemid
972,itemid
979,itemid
1000,itemid
1031,itemid
1033,itemid
1037,itemid
1078,itemid
1079,itemid
1080,itemid
1081,itemid
1083,itemid
1084,itemid
1085,itemid
1086,itemid
1087,itemid
1127,itemid
1131,itemid
1133,itemid
1135,itemid
1137,itemid
1138,itemid
1139,itemid
1141,itemid
1142,itemid
1143,itemid
1144,itemid
1145,itemid
1155,itemid
1156,itemid
1157,itemid
1158,itemid
1159,itemid
1160,itemid
1161,itemid
1162,itemid
1163,itemid
1164,itemid
1166,itemid
1167,itemid
1169,itemid
1170,itemid
1171,itemid
1172,itemid
1173,itemid
1174,itemid
1176,itemid
1177,itemid
1179,itemid
1181,itemid
1183,itemid
1185,itemid
1187,itemid
1189,itemid
1191,itemid
1193,itemid
1195,itemid
1197,itemid
1199,itemid
1201,itemid
1203,itemid
1205,itemid
1207,itemid
1210,itemid
1212,itemid
1214,itemid
1215,itemid
1217,itemid
1219,itemid
1221,itemid
1223,itemid
1225,itemid
1227,itemid
1228,itemid
1257,itemid
1259,itemid
1260,itemid
1263,itemid
1265,itemid
1266,itemid
1267,itemid
1271,itemid
1275,itemid
1276,itemid
1277,itemid
1279,itemid
1289,itemid
1290,itemid
1292,itemid
1293,itemid
1302,itemid
1304,itemid
1305,itemid
1306,itemid
1312,itemid
1313,itemid
1316,itemid
1320,itemid
1321,itemid
1322,itemid
1323,itemid
1324,itemid
1329,itemid
1330,itemid
1331,itemid
1337,itemid
1338,itemid
1339,itemid
1342,itemid
1343,itemid
1344,itemid
1349,itemid
1350,itemid
1351,itemid
1353,itemid
1354,itemid
1355,itemid
1356,itemid
1361,itemid
1362,itemid
1363,itemid
1364,itemid
1367,itemid
1368,itemid
1369,itemid
1370,itemid
1373,itemid
1374,itemid
1378,itemid
1379,itemid
1381,itemid
1382,itemid
1383,itemid
1384,itemid
1385,itemid
1387,itemid
1388,itemid
1389,itemid
1390,itemid
1391,itemid
1394,itemid
1398,itemid
1399,itemid
1400,itemid
1401,itemid
1407,itemid
1408,itemid
1409,itemid
1410,itemid
1411,itemid
1415,itemid
1416,itemid
1417,itemid
1418,itemid
1424,itemid
1425,itemid
1426,itemid
1427,itemid
1428,itemid
1431,itemid
1432,itemid
1437,itemid
1443,itemid
1444,itemid
1446,itemid
1447,itemid
1451,itemid
1452,itemid
1457,itemid
1458,itemid
1460,itemid
1462,itemid
1463,itemid
1464,itemid
1470,itemid
1472,itemid
1476,itemid
1477,itemid
1478,itemid
1481,itemid
1482,itemid
1483,itemid
1485,itemid
1490,itemid
1491,itemid
1498,itemid
1501,itemid
1502,itemid
1506,itemid
1507,itemid
1510,itemid
1512,itemid
1513,itemid
1515,itemid
1516,itemid
1517,itemid
1521,itemid
1522,itemid
1525,itemid
1526,itemid
1528,itemid
1529,itemid
1531,itemid
1535,itemid
1536,itemid
1539,itemid
1541,itemid
1542,itemid
1544,itemid
1546,itemid
1548,itemid
1549,itemid
1551,itemid
1552,itemid
1553,itemid
1554,itemid
1555,itemid
1559,itemid
1562,itemid
1563,itemid
1564,itemid
1565,itemid
1566,itemid
1567,itemid
1568,itemid
1569,itemid
1570,itemid
1571,itemid
1573,itemid
1575,itemid
1577,itemid
1578,itemid
1580,itemid
1584,itemid
1585,itemid
1590,itemid
1594,itemid
1595,itemid
1597,itemid
1599,itemid
1600,itemid
1604,itemid
1605,itemid
1607,itemid
1609,itemid
1610,itemid
1613,itemid
1614,itemid
1618,itemid
1619,itemid
1620,itemid
1622,itemid
1624,itemid
1625,itemid
1627,itemid
1630,itemid
1631,itemid
1633,itemid
1637,itemid
1642,itemid
1646,itemid
1647,itemid
1649,itemid
1653,itemid
1654,itemid
1655,itemid
1657,itemid
1662,itemid
1665,itemid
1666,itemid
1667,itemid
1668,itemid
1673,itemid
1674,itemid
1675,itemid
1676,itemid
1681,itemid
1682,itemid
1683,itemid
1684,itemid
1690,itemid
1691,itemid
1692,itemid
1693,itemid
1694,itemid
1697,itemid
1698,itemid
1699,itemid
1706,itemid
1707,itemid
1727,itemid
1736,itemid
1741,itemid
1747,value
1747,itemid
1748,itemid
1748,value
1750,itemid
1751,itemid
1754,itemid
1758,itemid
1761,itemid
1766,itemid
1767,itemid
1772,itemid
1779,itemid
1780,itemid
1783,itemid
1790,itemid
1793,itemid
1795,itemid
1797,itemid
1798,itemid
1799,itemid
1800,itemid
1800,value
1802,itemid
1803,itemid
1803,value
1805,itemid
1806,itemid
1810,itemid
1821,itemid
1822,itemid
1823,itemid
1824,itemid
1824,value
1825,itemid
1825,value
1832,itemid
1833,itemid
1841,itemid
1844,itemid
1844,value
1845,value
1845,itemid
1846,itemid
1847,itemid
1848,itemid
1851,itemid
1853,value
1853,itemid
1865,itemid
1879,itemid
1880,itemid
1887,itemid
1888,itemid
1892,itemid
1894,itemid
1897,itemid
1899,itemid
1902,itemid
1905,itemid
1908,itemid
1913,itemid
1919,itemid
1920,itemid
1921,itemid
1922,itemid
1923,itemid
1924,itemid
1925,itemid
1926,itemid
1927,itemid
1928,itemid
1929,itemid
1930,itemid
1940,itemid
1947,itemid
1948,value
1948,itemid
1949,value
1949,itemid
1958,itemid
1968,itemid
1969,itemid
1980,value
1980,itemid
1981,value
1981,itemid
1982,itemid
1982,value
1983,value
1983,itemid
1984,itemid
1984,value
1985,itemid
1985,value
1986,itemid
1987,itemid
1988,itemid
1989,itemid
1990,itemid
1991,itemid
1992,itemid
2016,itemid
2019,itemid
2022,itemid
2033,itemid
2116,itemid
2124,itemid
2148,itemid
2283,itemid
2284,itemid
2288,itemid
2325,itemid
2340,itemid
2344,itemid
2347,itemid
2354,itemid
2408,itemid
2413,itemid
2418,itemid
2424,itemid
2449,itemid
2452,itemid
2459,itemid
2476,itemid
2493,itemid
2501,itemid
2507,itemid
2511,itemid
2531,itemid
2534,itemid
2536,itemid
2573,itemid
2581,value
2581,itemid
2582,itemid
2583,itemid
2583,value
2584,itemid
2585,itemid
2585,value
2586,itemid
2587,value
2587,itemid
2588,itemid
2589,value
2589,itemid
2590,itemid
2591,value
2591,itemid
2592,itemid
2593,itemid
2594,value
2594,itemid
2595,itemid
2595,value
2596,itemid
2597,itemid
2598,itemid
2598,value
2599,value
2599,itemid
2600,itemid
2603,itemid
2605,itemid
2608,itemid
2610,itemid
2618,itemid
2627,itemid
2630,itemid
2633,itemid
2633,value
2635,value
2635,itemid
2636,itemid
2637,itemid
2638,itemid
2638,value
2639,itemid
2640,value
2640,itemid
2642,itemid
2642,value
2644,value
2644,itemid
2645,itemid
2646,value
2646,itemid
2647,itemid
2648,itemid
2649,value
2649,itemid
2650,itemid
2651,value
2651,itemid
2652,itemid
2653,value
2653,itemid
2654,itemid
2655,itemid
2656,value
2656,itemid
2658,itemid
2659,itemid
2659,value
2660,itemid
2661,itemid
2662,value
2663,value
2663,itemid
2665,value
2665,itemid
2668,itemid
2672,itemid
2674,itemid
2675,itemid
2675,value
2676,itemid
2677,itemid
2677,value
2686,itemid
2687,value
2687,itemid
2688,itemid
2689,value
2689,itemid
2690,itemid
2691,value
2691,itemid
2692,itemid
2693,value
2693,itemid
2694,itemid
2695,value
2695,itemid
2696,itemid
2697,itemid
2697,value
2698,itemid
2699,value
2699,itemid
2702,itemid
2707,itemid
2711,itemid
2713,itemid
2718,itemid
2720,itemid
2722,itemid
2724,itemid
2725,itemid
2726,itemid
2727,itemid
2729,itemid
2741,itemid
2742,itemid
2744,itemid
2745,itemid
2747,value
2747,itemid
2748,value
2748,itemid
2750,itemid
2751,itemid
2752,itemid
2757,itemid
2758,itemid
2759,itemid
2760,itemid
2772,itemid
2773,itemid
2777,itemid
2778,itemid
2781,itemid
2784,itemid
2787,itemid
2790,itemid
2792,itemid
2794,itemid
2797,itemid
2799,itemid
2802,itemid
2806,itemid
2809,itemid
2824,itemid
2838,itemid
2861,itemid
2915,itemid
2921,itemid
2924,itemid
2929,itemid
2933,itemid
2948,itemid
2956,itemid
2961,itemid
2963,itemid
2966,itemid
2975,itemid
2985,itemid
2987,itemid
2993,itemid
3000,itemid
3006,itemid
3011,itemid
3016,itemid
3020,itemid
3025,itemid
3030,itemid
3032,itemid
3050,itemid
3065,itemid
3077,itemid
3087,itemid
3090,itemid
3098,itemid
3101,itemid
3106,itemid
3137,itemid
3138,itemid
3140,itemid
3143,itemid
3145,itemid
3149,itemid
3151,itemid
3153,itemid
3155,itemid
3156,itemid
3157,itemid
3158,itemid
3159,itemid
3160,itemid
3162,itemid
3163,itemid
3164,itemid
3166,itemid
3167,itemid
3170,itemid
3174,itemid
3177,itemid
3180,itemid
3182,itemid
3215,itemid
3216,itemid
3225,itemid
3227,itemid
3229,itemid
3231,itemid
3233,itemid
3234,itemid
3236,itemid
3237,itemid
3239,itemid
3241,itemid
3243,itemid
3247,itemid
3250,itemid
3252,itemid
3256,itemid
3260,itemid
3263,itemid
3264,itemid
3265,itemid
3266,itemid
3267,itemid
3268,itemid
3276,itemid
3277,itemid
3278,itemid
3279,itemid
3280,itemid
3281,itemid
3282,itemid
3283,itemid
3284,itemid
3285,itemid
