Index,Attribute
0,actDepTime
1,actArrTime
5,actDepTime
5,schedArrTime
5,actArrTime
6,actDepTime
6,actArrTime
7,actArrTime
7,actDepTime
9,actDepTime
10,actDepTime
10,actArrTime
11,schedArrTime
11,actArrTime
11,actDepTime
14,actDepTime
17,actDepTime
17,actArrTime
20,schedArrTime
20,actArrTime
20,actDepTime
21,actDepTime
22,actDepTime
23,actDepTime
25,schedArrTime
25,actArrTime
25,actDepTime
26,actArrTime
33,actDepTime
35,actDepTime
37,actDepTime
38,schedArrTime
38,actArrTime
39,schedArrTime
39,actArrTime
40,actDepTime
40,actArrTime
43,actDepTime
43,actArrTime
44,actArrTime
48,schedArrTime
48,actArrTime
50,actDepTime
56,actDepTime
62,actArrTime
62,actDepTime
65,actArrTime
66,actDepTime
68,actDepTime
68,actArrTime
69,actDepTime
70,actDepTime
71,actArrTime
71,schedArrTime
73,actDepTime
73,actArrTime
73,schedArrTime
75,actDepTime
75,schedArrTime
75,actArrTime
76,actDepTime
79,schedArrTime
79,actDepTime
79,actArrTime
80,actArrTime
80,actDepTime
82,actArrTime
85,actDepTime
85,actArrTime
88,actArrTime
88,schedArrTime
88,actDepTime
89,actDepTime
89,schedDepTime
91,actDepTime
94,schedArrTime
94,actArrTime
94,actDepTime
97,actArrTime
98,actDepTime
98,actArrTime
99,schedArrTime
99,actArrTime
101,actDepTime
101,actArrTime
102,schedArrTime
102,actArrTime
103,actArrTime
103,actDepTime
104,actArrTime
105,schedArrTime
106,actDepTime
106,actArrTime
107,schedArrTime
107,actArrTime
107,actDepTime
108,actDepTime
109,actDepTime
114,actDepTime
114,actArrTime
115,actDepTime
117,actDepTime
118,actDepTime
119,actDepTime
120,actArrTime
120,actDepTime
121,actArrTime
121,actDepTime
122,actArrTime
122,actDepTime
126,actDepTime
128,actDepTime
131,actArrTime
132,actDepTime
132,actArrTime
132,schedArrTime
133,actDepTime
133,actArrTime
135,schedArrTime
136,actArrTime
138,actArrTime
138,actDepTime
140,actArrTime
140,schedArrTime
143,actDepTime
145,actDepTime
145,actArrTime
145,schedArrTime
146,actDepTime
150,actDepTime
151,actDepTime
152,actArrTime
153,actArrTime
153,actDepTime
154,actDepTime
159,actDepTime
159,actArrTime
160,actDepTime
160,actArrTime
163,actDepTime
163,actArrTime
163,schedArrTime
164,actDepTime
164,actArrTime
164,schedArrTime
168,actArrTime
169,actDepTime
170,actDepTime
171,actArrTime
171,schedArrTime
173,actArrTime
176,actDepTime
177,actDepTime
178,actArrTime
181,actDepTime
181,actArrTime
182,schedArrTime
182,actArrTime
182,actDepTime
185,schedArrTime
185,actArrTime
185,actDepTime
186,actDepTime
187,actDepTime
187,actArrTime
190,actArrTime
191,actDepTime
194,actDepTime
194,actArrTime
198,actArrTime
199,actArrTime
199,actDepTime
205,actDepTime
206,schedArrTime
206,actArrTime
207,actArrTime
207,actDepTime
209,actDepTime
209,schedArrTime
209,actArrTime
211,actDepTime
211,actArrTime
212,actArrTime
213,schedArrTime
213,actArrTime
216,actDepTime
219,actArrTime
219,schedArrTime
221,actDepTime
224,actDepTime
227,schedArrTime
227,actDepTime
227,actArrTime
228,actDepTime
230,actArrTime
230,schedArrTime
231,actArrTime
231,actDepTime
232,schedArrTime
232,actArrTime
232,actDepTime
236,actDepTime
236,actArrTime
238,actDepTime
238,actArrTime
242,actDepTime
242,actArrTime
245,actArrTime
245,actDepTime
250,actDepTime
253,actArrTime
263,schedArrTime
263,actArrTime
264,schedArrTime
264,actArrTime
265,actDepTime
268,schedArrTime
268,actDepTime
268,actArrTime
272,actArrTime
272,schedArrTime
275,actDepTime
275,schedArrTime
275,actArrTime
276,actDepTime
276,schedArrTime
276,actArrTime
279,actArrTime
283,actDepTime
283,actArrTime
283,schedArrTime
284,actDepTime
285,actArrTime
285,actDepTime
287,actDepTime
290,actDepTime
291,actDepTime
296,actArrTime
296,actDepTime
301,actArrTime
301,schedArrTime
301,actDepTime
302,actArrTime
302,actDepTime
304,actDepTime
308,actArrTime
309,actDepTime
315,actDepTime
319,actDepTime
320,schedArrTime
320,actArrTime
320,actDepTime
322,actArrTime
322,actDepTime
324,actArrTime
324,actDepTime
324,schedArrTime
326,schedArrTime
326,actArrTime
327,actDepTime
328,actArrTime
328,actDepTime
328,schedArrTime
329,actDepTime
332,actArrTime
332,actDepTime
334,actDepTime
335,actArrTime
338,actDepTime
339,actArrTime
340,actDepTime
340,actArrTime
340,schedArrTime
342,actArrTime
342,actDepTime
343,actDepTime
344,actArrTime
346,actArrTime
349,actDepTime
351,actDepTime
355,actDepTime
357,actArrTime
357,actDepTime
358,actArrTime
358,schedArrTime
358,actDepTime
359,actArrTime
359,actDepTime
361,schedArrTime
361,actDepTime
361,actArrTime
365,schedArrTime
366,actDepTime
367,schedArrTime
367,actArrTime
369,actDepTime
370,actDepTime
371,actDepTime
374,actArrTime
374,actDepTime
375,actDepTime
376,actArrTime
377,actDepTime
378,actDepTime
379,actArrTime
379,schedDepTime
379,schedArrTime
380,actDepTime
381,actDepTime
382,actArrTime
382,actDepTime
384,actDepTime
385,actArrTime
386,actArrTime
386,schedArrTime
387,actArrTime
387,schedArrTime
390,actArrTime
391,actArrTime
393,actArrTime
393,actDepTime
394,actArrTime
395,schedArrTime
396,actArrTime
396,schedArrTime
398,actDepTime
398,actArrTime
400,schedArrTime
400,actDepTime
400,actArrTime
401,actArrTime
404,actArrTime
405,actDepTime
406,schedArrTime
406,actDepTime
406,actArrTime
407,schedArrTime
407,actArrTime
407,actDepTime
413,actArrTime
413,actDepTime
414,schedArrTime
414,actArrTime
419,schedArrTime
419,actDepTime
419,actArrTime
420,schedArrTime
420,actArrTime
421,schedArrTime
421,actArrTime
421,actDepTime
423,actDepTime
423,schedArrTime
423,actArrTime
425,actArrTime
430,actArrTime
430,actDepTime
430,schedArrTime
431,actDepTime
432,actDepTime
433,actArrTime
433,schedArrTime
435,actDepTime
435,actArrTime
436,actDepTime
437,actArrTime
437,actDepTime
450,actArrTime
450,actDepTime
454,actDepTime
455,actArrTime
456,actDepTime
461,actArrTime
463,actDepTime
465,actArrTime
465,schedArrTime
466,actArrTime
466,actDepTime
467,actDepTime
469,actDepTime
469,actArrTime
470,actDepTime
470,actArrTime
473,actArrTime
473,actDepTime
477,actDepTime
477,schedArrTime
477,actArrTime
479,schedArrTime
479,actArrTime
480,actDepTime
485,actDepTime
486,actDepTime
488,actArrTime
488,actDepTime
489,actDepTime
492,actArrTime
492,actDepTime
493,actArrTime
493,actDepTime
494,actArrTime
494,actDepTime
494,schedArrTime
494,schedDepTime
495,actArrTime
495,actDepTime
497,actArrTime
497,actDepTime
498,actDepTime
498,actArrTime
498,schedArrTime
499,actDepTime
504,actDepTime
507,actArrTime
508,actArrTime
511,actDepTime
511,schedArrTime
511,actArrTime
512,actDepTime
513,actArrTime
513,schedDepTime
513,actDepTime
513,schedArrTime
517,actArrTime
519,actArrTime
519,actDepTime
521,actArrTime
521,actDepTime
524,actDepTime
524,schedArrTime
526,actArrTime
527,actDepTime
530,actArrTime
531,actDepTime
532,actArrTime
533,actDepTime
540,actArrTime
541,actDepTime
542,actDepTime
544,actDepTime
544,schedArrTime
544,actArrTime
551,schedArrTime
551,actArrTime
552,actArrTime
552,actDepTime
552,schedDepTime
552,schedArrTime
555,actDepTime
555,actArrTime
556,actArrTime
556,actDepTime
557,actArrTime
557,actDepTime
560,schedArrTime
560,actArrTime
560,actDepTime
561,actDepTime
562,actDepTime
564,schedArrTime
564,actArrTime
565,actDepTime
566,actDepTime
566,actArrTime
567,actDepTime
572,actDepTime
572,actArrTime
573,actArrTime
573,actDepTime
575,actDepTime
576,actDepTime
576,schedArrTime
576,actArrTime
578,actArrTime
578,schedArrTime
578,actDepTime
579,actArrTime
580,actDepTime
582,actDepTime
583,schedArrTime
585,actDepTime
586,actDepTime
592,schedArrTime
592,actArrTime
593,actArrTime
593,schedArrTime
593,actDepTime
594,actDepTime
598,actArrTime
599,actDepTime
601,actDepTime
601,actArrTime
602,schedArrTime
602,actArrTime
603,actArrTime
603,schedArrTime
604,actDepTime
606,actDepTime
607,actDepTime
609,actArrTime
610,actArrTime
610,schedArrTime
610,actDepTime
612,actDepTime
615,actArrTime
616,actArrTime
616,schedArrTime
616,actDepTime
617,actDepTime
617,schedArrTime
617,actArrTime
618,actDepTime
619,actDepTime
620,actDepTime
622,actDepTime
622,actArrTime
623,schedArrTime
623,actArrTime
625,actDepTime
635,schedArrTime
635,actArrTime
635,actDepTime
636,actDepTime
636,actArrTime
639,actDepTime
640,actDepTime
643,schedArrTime
643,actArrTime
644,schedArrTime
644,actDepTime
644,actArrTime
645,actDepTime
645,schedDepTime
646,actArrTime
648,actDepTime
648,actArrTime
650,actDepTime
651,actDepTime
653,actDepTime
653,actArrTime
654,actArrTime
658,actArrTime
658,actDepTime
659,actDepTime
661,actArrTime
661,actDepTime
664,actDepTime
664,actArrTime
664,schedArrTime
667,actDepTime
668,actDepTime
669,actDepTime
669,actArrTime
671,actDepTime
671,actArrTime
672,actDepTime
675,schedArrTime
675,actArrTime
675,actDepTime
676,actArrTime
677,actDepTime
677,actArrTime
678,actDepTime
681,schedArrTime
681,actArrTime
681,actDepTime
683,actArrTime
685,actDepTime
685,actArrTime
685,schedArrTime
686,actArrTime
687,actDepTime
688,actArrTime
688,actDepTime
693,actDepTime
696,schedArrTime
696,actArrTime
698,actArrTime
699,actDepTime
704,schedArrTime
704,actArrTime
705,schedArrTime
705,actArrTime
707,actDepTime
709,actArrTime
709,actDepTime
712,actArrTime
715,actArrTime
715,actDepTime
715,schedArrTime
716,schedArrTime
717,actDepTime
717,actArrTime
722,schedArrTime
722,actArrTime
724,actDepTime
726,actDepTime
727,actDepTime
727,actArrTime
730,actDepTime
733,actArrTime
733,schedArrTime
733,actDepTime
735,actDepTime
735,actArrTime
735,schedArrTime
738,actDepTime
739,actDepTime
743,actArrTime
744,actArrTime
749,actArrTime
749,actDepTime
750,actArrTime
750,actDepTime
754,actDepTime
754,actArrTime
755,actDepTime
759,schedArrTime
759,actArrTime
761,actArrTime
764,actArrTime
764,schedArrTime
764,actDepTime
772,actArrTime
772,actDepTime
774,actDepTime
774,actArrTime
775,actDepTime
775,actArrTime
