composed_key,schedDepTime,actDepTime,schedArrTime,actArrTime
2011-12-29 - AA-954-TGU-MIA,42995.0,43009.0,43130.0,43112.0
2011-12-19 - UA-2568-CLT-PHL,28220.0,28230.0,28316.0,28316.0
2011-12-14 - AA-3544-MEM-MIA,21335.0,21338.0,21475.0,21457.0
2011-12-03 - AA-1920-LAX-SFO,5220.0,5241.0,5295.0,5299.0
2011-12-30 - CO-1406-IAH-LAX,44790.0,44844.0,45024.0,45052.0
2011-12-18 - AA-3822-DEN-LAX,27340.0,27353.0,27473.0,27463.0
2011-12-31 - AA-971-MIA-SJO,45505.0,45517.0,45670.0,45663.0
2011-12-24 - UA-2486-CLT-FLL,35670.0,35687.0,35791.0,35782.0
2011-12-11 - AA-586-DFW-CLE,16740.0,16795.0,16885.0,16945.0
2011-12-08 - CO-1223-EWR-LAX,12330.0,12327.0,12709.0,12696.0
2011-12-26 - AA-4277-CVG-JFK,38470.0,38476.0,38595.0,38567.0
2011-12-14 - AA-2354-DFW-ORD,21365.0,21385.0,21481.0,21487.0
2011-12-26 - AA-3859-IAH-ORD,38230.0,38226.0,38380.0,38382.0
2011-12-13 - CO-1669-SFO-IAH,20084.0,20086.0,20300.0,20303.0
2011-12-01 - AA-3716-ATL-ORD,2675.0,2668.0,2810.0,2794.0
2012-01-03 - AA-2885-DFW-CVG,50400.0,50394.0,50530.0,50540.0
2011-12-20 - AA-3815-LAX-DEN,29720.0,29719.0,29855.0,29866.0
2011-12-27 - AA-1640-MIA-MCO,40290.0,40290.0,40345.0,40345.0
2012-01-01 - UA-1543-IAH-DCA,47215.0,47215.0,47385.0,47399.0
2011-12-18 - UA-1589-EWR-IAH,26740.0,26767.0,26984.0,26964.0
2011-12-24 - AA-4307-ORD-DTW,36045.0,36068.0,36108.0,36120.0
2011-12-18 - CO-1687-MCO-IAH,27300.0,27307.0,27462.0,27443.0
2011-12-07 - UA-2744-PHX-MSP,11450.0,11450.0,11632.0,11617.0
2011-12-02 - AA-3802-LAX-PHX,4080.0,4090.0,4160.0,4159.0
2011-12-12 - UA-770-SFO-BOS,19120.0,19134.0,18022.0,17992.0
2011-12-20 - AA-613-JFK-MIA,30165.0,30188.0,30353.0,30341.0
2011-12-19 - UA-416-LAX-JFK,28545.0,28562.0,28871.0,28851.0
2011-12-10 - UA-858-SFO-DEN,15665.0,15662.0,15818.0,15825.0
2011-12-26 - UA-2477-CLT-RDU,38515.0,38511.0,38562.0,38568.0
2011-12-28 - AA-415-BOS-ORD,41135.0,41135.0,41320.0,41290.0
2011-12-05 - UA-5182-IAH-COS,8115.0,8114.0,8257.0,8268.0
2011-12-20 - UA-4658-IAH-SHV,30430.0,30492.0,30483.0,30538.0
2011-12-04 - CO-4221-MEM-IAH,7108.0,7104.0,7219.0,7220.0
2011-12-19 - CO-1703-LAX-EWR,28355.0,28377.0,28677.0,28669.0
2011-12-11 - AA-1077-DFW-SFO,16665.0,16666.0,16890.0,16887.0
2011-12-14 - UA-2859-MSP-PHL,20930.0,20926.0,21093.0,21062.0
2011-12-03 - AA-309-LGA-ORD,5130.0,5128.0,5300.0,5280.0
2011-12-02 - AA-1572-SAT-DFW,3615.0,3610.0,3680.0,3673.0
2011-12-29 - CO-1173-IAH-DEN,42645.0,42671.0,42788.0,42796.0
2011-12-20 - AA-1775-ORD-LAS,29875.0,29881.0,30073.0,30071.0
2011-12-29 - UA-2909-PVD-CLT,42435.0,42447.0,42580.0,42560.0
2011-12-16 - AA-74-LAX-IAD,24900.0,24900.0,23740.0,23740.0
2011-12-18 - UA-1960-CLT-CVG,27300.0,27304.0,27388.0,27404.0
2011-12-17 - AA-3804-PHL-ORD,25655.0,25750.0,25805.0,25856.0
2012-01-02 - AA-954-TGU-MIA,48755.0,48769.0,48890.0,48908.0
2011-12-17 - AA-1613-DCA-ORD,25860.0,25875.0,25990.0,25978.0
2011-12-29 - AA-3533-MIA-CLT,43395.0,43395.0,42075.0,42075.0
2011-12-28 - AA-1198-LAX-LAS,42020.0,42043.0,42084.0,42093.0
2011-12-16 - AA-1920-LAX-SFO,23940.0,23959.0,24010.0,24005.0
2011-12-29 - UA-1171-IAH-DCA,43095.0,43119.0,43256.0,43270.0
2011-12-18 - AA-743-LGA-DFW,26970.0,26963.0,27225.0,27192.0
2011-12-26 - UA-581-ORD-JAX,38990.0,39000.0,39102.0,39112.0
2011-12-02 - UA-1457-SFO-IAH,3720.0,3717.0,3947.0,3940.0
2011-12-01 - UA-779-BOS-DEN,2620.0,2617.0,2902.0,2914.0
2011-12-07 - UA-1472-EWR-MCO,11055.0,11068.0,11230.0,11236.0
2011-12-01 - UA-768-SFO-BOS,2435.0,2433.0,2775.0,2771.0
2011-12-12 - UA-2725-FLL-PHL,17940.0,17934.0,18098.0,18076.0
2011-12-05 - AA-1920-LAX-SFO,8100.0,8115.0,8175.0,8175.0
2011-12-19 - UA-442-DEN-PHX,28382.0,28392.0,28484.0,28482.0
2011-12-31 - AA-1735-MIA-KIN,45700.0,45697.0,45795.0,45789.0
2011-12-26 - CO-1255-LAX-EWR,38870.0,38874.0,39179.0,39172.0
2011-12-18 - CO-1007-LAX-IAH,26970.0,26974.0,27163.0,27159.0
